region,age_group,coverage_rate,report_date,gender
West,18+ years,58.5,2023-03-16,Male
West,13-17 years,73.3,2023-06-17,Male
West,18+ years,64.43,2023-04-11,Male
Centre,13-17 years,77.18,2023-04-11,Male
South,13-17 years,89.77,2023-07-11,Male
North,6-12 years,50.59,2023-08-04,Male
Centre,18+ years,58.19,2023-04-04,Male
South,13-17 years,73.04,2023-01-07,Female
South,13-17 years,86.96,2023-01-19,Female
Centre,13-17 years,61.2,2023-05-07,Male
East,18+ years,84.72,2023-02-01,Female
Centre,18+ years,69.15,2023-10-23,Female
North,18+ years,51.52,2023-07-15,Female
South,18+ years,76.29,2023-10-18,Female
East,13-17 years,64.53,2023-12-19,Female
East,13-17 years,78.89,2023-09-17,Male
Centre,6-12 years,84.34,2023-06-18,Female
South,18+ years,58.33,2023-04-12,Male
North,6-12 years,94.09,2023-05-08,Male
South,13-17 years,73.42,2023-05-05,Male
North,13-17 years,99.99,2023-07-13,Male
East,13-17 years,52.95,2023-05-15,Male
West,6-12 years,75.57,2023-05-07,Male
Centre,0-5 years,60.2,2023-07-17,Female
West,13-17 years,57.9,2023-01-01,Female
North,18+ years,69.89,2023-11-25,Female
West,18+ years,85.39,2023-08-17,Male
North,18+ years,68.87,2023-12-25,Female
East,18+ years,92.91,2023-12-31,Female
East,18+ years,85.66,2023-03-13,Female
West,0-5 years,83.94,2023-07-02,Female
North,13-17 years,87.01,2023-09-06,Female
East,18+ years,87.44,2023-10-31,Male
West,0-5 years,84.37,2023-09-07,Male
East,6-12 years,85.36,2023-05-28,Male
West,18+ years,64.21,2023-01-18,Female
North,18+ years,70.13,2023-07-24,Female
East,6-12 years,64.85,2023-09-28,Female
West,6-12 years,67.47,2023-10-30,Male
West,13-17 years,61.43,2023-11-26,Female
Centre,13-17 years,96.59,2023-06-28,Male
Centre,18+ years,99.53,2023-01-05,Male
Centre,18+ years,83.42,2023-10-27,Female
North,18+ years,84.23,2023-09-06,Female
North,0-5 years,60.67,2023-07-10,Female
East,0-5 years,78.32,2023-11-10,Male
South,6-12 years,95.75,2023-01-03,Female
North,0-5 years,51.39,2023-07-02,Female
West,13-17 years,84.66,2023-01-08,Female
South,0-5 years,60.09,2023-08-27,Male
South,13-17 years,78.02,2023-01-29,Male
West,0-5 years,65.0,2023-10-10,Female
Centre,18+ years,88.04,2023-03-12,Female
South,18+ years,51.79,2023-02-25,Female
West,0-5 years,81.79,2023-05-22,Female
South,6-12 years,71.61,2023-01-04,Male
South,13-17 years,97.72,2023-07-10,Male
West,0-5 years,53.98,2023-12-04,Male
West,0-5 years,68.9,2023-08-14,Female
West,0-5 years,81.81,2023-12-06,Male
East,0-5 years,71.76,2023-05-18,Male
South,18+ years,64.35,2023-05-13,Male
North,0-5 years,91.07,2023-10-01,Female
Centre,13-17 years,52.35,2023-10-16,Male
Centre,13-17 years,51.24,2023-09-19,Male
East,6-12 years,80.99,2023-01-20,Female
Centre,0-5 years,77.83,2023-10-16,Female
West,0-5 years,73.95,2023-12-30,Male
West,0-5 years,59.04,2023-02-26,Male
West,6-12 years,75.09,2023-02-03,Female
Centre,13-17 years,50.03,2023-07-01,Male
West,0-5 years,98.15,2023-04-17,Female
South,6-12 years,52.72,2023-12-29,Male
North,13-17 years,87.75,2023-10-07,Male
South,18+ years,64.73,2023-05-23,Female
Centre,6-12 years,72.97,2023-05-06,Female
Centre,18+ years,94.8,2023-02-18,Female
North,6-12 years,66.51,2023-08-26,Female
North,0-5 years,82.9,2023-06-21,Female
Centre,0-5 years,51.21,2023-07-30,Male
East,18+ years,62.59,2023-03-03,Male
West,0-5 years,80.21,2023-08-13,Female
West,0-5 years,69.31,2023-08-02,Male
East,13-17 years,50.31,2023-07-04,Female
North,6-12 years,81.05,2023-12-09,Female
Centre,0-5 years,74.75,2023-12-13,Male
East,13-17 years,52.18,2023-01-30,Male
West,6-12 years,65.43,2023-11-01,Female
West,13-17 years,85.39,2023-03-02,Male
Centre,6-12 years,62.52,2023-03-09,Female
West,6-12 years,51.85,2023-08-31,Female
West,0-5 years,63.33,2023-04-02,Female
North,0-5 years,80.98,2023-07-20,Male
West,18+ years,55.61,2023-09-30,Male
West,13-17 years,75.49,2023-08-21,Male
West,6-12 years,65.52,2023-05-21,Female
West,0-5 years,72.69,2023-12-07,Male
North,0-5 years,95.39,2023-03-18,Male
West,18+ years,68.73,2023-10-02,Male
Centre,0-5 years,54.22,2023-04-22,Female
East,0-5 years,74.69,2023-09-15,Male
Centre,6-12 years,72.97,2023-10-19,Female
South,6-12 years,91.19,2023-12-09,Female
South,6-12 years,50.92,2023-03-06,Male
East,6-12 years,88.13,2023-06-02,Male
East,13-17 years,61.38,2023-06-20,Male
West,18+ years,84.98,2023-05-05,Female
North,18+ years,77.84,2023-12-31,Male
South,18+ years,65.7,2023-07-21,Male
North,6-12 years,81.33,2023-12-18,Male
North,6-12 years,86.15,2023-12-25,Male
South,6-12 years,67.95,2023-09-05,Female
South,6-12 years,63.93,2023-03-09,Female
North,18+ years,74.59,2023-07-07,Female
South,18+ years,69.94,2023-03-30,Male
South,6-12 years,77.19,2023-05-10,Female
West,0-5 years,87.81,2023-12-13,Female
South,13-17 years,50.39,2023-10-01,Male
South,0-5 years,95.38,2023-08-22,Female
North,13-17 years,54.09,2023-05-17,Male
East,18+ years,97.52,2023-07-09,Female
North,0-5 years,59.16,2023-08-08,Male
South,18+ years,71.52,2023-01-07,Female
Centre,13-17 years,89.48,2023-09-05,Male
East,18+ years,73.03,2023-10-17,Female
East,18+ years,56.14,2023-02-18,Female
North,18+ years,95.59,2023-02-23,Female
South,0-5 years,83.68,2023-10-22,Male
South,13-17 years,78.33,2023-03-18,Male
Centre,0-5 years,97.99,2023-09-18,Female
Centre,6-12 years,53.24,2023-03-28,Female
Centre,13-17 years,75.14,2023-03-08,Female
Centre,18+ years,72.87,2023-05-17,Male
South,18+ years,59.64,2023-01-15,Female
East,6-12 years,90.4,2023-11-12,Male
East,18+ years,64.47,2023-06-14,Male
East,6-12 years,83.94,2023-11-16,Male
West,13-17 years,89.15,2023-10-06,Female
West,0-5 years,65.52,2023-07-24,Male
West,13-17 years,52.71,2023-12-19,Male
South,6-12 years,80.99,2023-09-09,Female
Centre,0-5 years,98.45,2023-04-12,Female
North,18+ years,76.29,2023-03-14,Male
North,18+ years,75.56,2023-04-22,Male
North,18+ years,75.33,2023-10-27,Female
West,0-5 years,64.79,2023-08-22,Male
West,6-12 years,84.88,2023-10-27,Female
South,6-12 years,90.3,2023-10-30,Male
West,13-17 years,92.01,2023-01-20,Male
West,18+ years,56.69,2023-04-07,Female
South,18+ years,80.86,2023-09-10,Male
South,18+ years,71.67,2023-12-08,Female
North,13-17 years,51.65,2023-04-27,Female
East,13-17 years,68.7,2023-07-09,Female
South,0-5 years,82.79,2023-11-10,Male
North,6-12 years,66.72,2023-02-22,Male
South,0-5 years,64.69,2023-11-17,Female
East,18+ years,64.41,2023-09-13,Female
Centre,6-12 years,72.16,2023-01-12,Male
West,18+ years,83.86,2023-08-07,Male
East,6-12 years,54.97,2023-11-22,Female
East,6-12 years,73.49,2023-12-23,Male
East,6-12 years,96.01,2023-12-27,Male
South,6-12 years,54.74,2023-02-18,Male
North,6-12 years,51.39,2023-11-02,Male
North,6-12 years,95.54,2023-09-29,Male
West,13-17 years,56.97,2023-11-02,Female
South,18+ years,70.11,2023-09-28,Male
North,0-5 years,74.61,2023-08-07,Male
West,6-12 years,57.48,2023-08-10,Female
East,18+ years,97.47,2023-02-08,Male
North,6-12 years,87.23,2023-08-20,Male
East,0-5 years,66.8,2023-09-23,Female
North,0-5 years,57.05,2023-07-29,Female
East,0-5 years,50.48,2023-10-31,Female
East,13-17 years,73.05,2023-10-16,Female
Centre,6-12 years,59.96,2023-12-29,Male
North,18+ years,95.85,2023-10-16,Female
South,18+ years,94.03,2023-05-02,Male
Centre,6-12 years,69.78,2023-08-09,Female
North,6-12 years,86.63,2023-11-29,Male
North,18+ years,67.25,2023-03-07,Female
West,18+ years,76.08,2023-02-23,Female
North,18+ years,91.72,2023-05-05,Male
Centre,6-12 years,68.91,2023-09-17,Male
South,18+ years,73.32,2023-07-03,Male
South,6-12 years,59.14,2023-08-26,Female
Centre,18+ years,96.46,2023-06-07,Male
Centre,13-17 years,77.92,2023-09-30,Female
Centre,6-12 years,51.99,2023-07-08,Female
East,6-12 years,91.72,2023-05-01,Male
East,6-12 years,59.06,2023-10-08,Male
South,6-12 years,90.63,2023-01-18,Male
South,18+ years,79.91,2023-11-25,Female
North,13-17 years,92.75,2023-10-12,Male
North,0-5 years,91.98,2023-05-22,Female
North,13-17 years,54.83,2023-03-12,Female
North,13-17 years,75.8,2023-09-16,Male
West,13-17 years,51.3,2023-06-29,Female
Centre,18+ years,92.31,2023-09-08,Male
East,18+ years,90.35,2023-04-05,Female
East,6-12 years,98.85,2023-04-12,Female
West,18+ years,72.74,2023-08-06,Male
North,13-17 years,76.54,2023-02-17,Male
Centre,0-5 years,84.18,2023-04-20,Male
North,0-5 years,94.93,2023-01-09,Female
East,18+ years,82.74,2023-01-13,Female
West,13-17 years,78.83,2023-07-11,Male
West,18+ years,89.95,2023-01-01,Female
East,18+ years,56.17,2023-09-07,Female
South,0-5 years,75.03,2023-09-22,Male
Centre,13-17 years,60.34,2023-01-08,Male
South,6-12 years,59.08,2023-10-08,Male
North,13-17 years,97.05,2023-07-17,Male
South,18+ years,70.55,2023-02-07,Male
Centre,18+ years,91.41,2023-03-12,Female
Centre,6-12 years,92.82,2023-02-22,Male
South,13-17 years,61.14,2023-04-15,Female
South,18+ years,82.21,2023-11-26,Male
Centre,0-5 years,82.17,2023-08-12,Male
Centre,6-12 years,96.34,2023-08-09,Female
South,13-17 years,75.6,2023-10-07,Female
South,0-5 years,54.54,2023-05-24,Male
South,18+ years,55.14,2023-10-16,Female
North,6-12 years,82.24,2023-10-29,Female
North,13-17 years,87.83,2023-09-05,Male
East,6-12 years,99.33,2023-11-14,Female
South,18+ years,58.92,2023-03-26,Female
South,13-17 years,86.23,2023-12-02,Male
North,0-5 years,79.41,2023-05-01,Female
North,6-12 years,79.06,2023-02-12,Male
North,6-12 years,55.6,2023-03-03,Female
Centre,0-5 years,95.11,2023-04-23,Female
West,13-17 years,87.07,2023-05-27,Female
West,0-5 years,77.15,2023-04-28,Male
Centre,18+ years,50.48,2023-03-18,Male
East,0-5 years,65.01,2023-09-04,Female
North,6-12 years,58.66,2023-10-11,Male
North,13-17 years,66.26,2023-12-27,Male
North,6-12 years,56.35,2023-12-11,Male
West,0-5 years,89.26,2023-03-12,Male
South,13-17 years,59.81,2023-06-17,Male
South,0-5 years,56.42,2023-06-03,Male
East,13-17 years,69.64,2023-09-13,Male
South,13-17 years,72.29,2023-02-22,Male
South,13-17 years,76.98,2023-07-12,Female
North,0-5 years,57.58,2023-09-14,Male
East,18+ years,52.25,2023-05-28,Female
North,18+ years,90.26,2023-02-13,Male
North,13-17 years,56.99,2023-11-11,Female
East,18+ years,89.06,2023-06-13,Female
West,0-5 years,82.87,2023-04-13,Male
Centre,6-12 years,56.49,2023-08-10,Male
East,6-12 years,62.99,2023-09-08,Female
West,0-5 years,96.77,2023-08-04,Male
West,13-17 years,81.47,2023-08-22,Male
East,18+ years,66.95,2023-12-06,Male
North,6-12 years,66.5,2023-02-15,Male
East,13-17 years,56.02,2023-04-27,Female
East,6-12 years,62.95,2023-07-25,Male
Centre,6-12 years,55.04,2023-04-09,Female
North,18+ years,76.12,2023-11-02,Male
East,0-5 years,68.71,2023-11-16,Male
South,18+ years,59.31,2023-09-19,Male
North,0-5 years,65.34,2023-11-15,Female
North,18+ years,86.1,2023-12-05,Female
Centre,6-12 years,87.23,2023-01-08,Female
South,18+ years,64.81,2023-07-28,Female
East,13-17 years,84.35,2023-08-02,Female
West,6-12 years,73.34,2023-09-10,Female
Centre,18+ years,91.19,2023-12-27,Female
West,6-12 years,78.75,2023-10-11,Female
East,13-17 years,78.17,2023-12-20,Male
East,6-12 years,50.75,2023-08-29,Male
North,0-5 years,56.97,2023-11-06,Female
West,6-12 years,51.12,2023-05-24,Female
West,6-12 years,62.44,2023-02-11,Male
West,6-12 years,73.18,2023-04-08,Male
South,13-17 years,72.16,2023-11-05,Female
West,18+ years,96.29,2023-02-16,Female
West,6-12 years,71.8,2023-07-18,Male
South,18+ years,79.71,2023-11-13,Female
North,6-12 years,71.99,2023-12-15,Female
East,0-5 years,56.2,2023-11-12,Male
South,0-5 years,65.36,2023-12-02,Male
East,18+ years,52.27,2023-04-10,Male
Centre,0-5 years,90.64,2023-12-11,Male
West,18+ years,68.27,2023-11-04,Female
Centre,0-5 years,88.63,2023-01-18,Female
Centre,18+ years,99.84,2023-11-01,Female
East,6-12 years,78.93,2023-02-23,Male
East,6-12 years,81.21,2023-01-21,Male
East,0-5 years,85.0,2023-08-07,Female
South,13-17 years,66.61,2023-05-14,Male
West,18+ years,68.95,2023-08-13,Male
East,18+ years,73.92,2023-07-23,Female
North,18+ years,75.59,2023-02-28,Male
East,6-12 years,95.85,2023-06-23,Male
South,18+ years,71.71,2023-07-13,Female
West,6-12 years,53.87,2023-10-12,Male
North,0-5 years,57.35,2023-08-27,Female
South,6-12 years,95.99,2023-06-16,Male
East,13-17 years,96.19,2023-01-18,Female
West,6-12 years,93.74,2023-01-07,Female
South,6-12 years,52.2,2023-02-15,Male
Centre,6-12 years,98.58,2023-02-12,Male
East,6-12 years,50.92,2023-03-06,Female
East,18+ years,78.39,2023-06-17,Female
Centre,13-17 years,66.87,2023-04-08,Female
South,18+ years,80.2,2023-03-30,Male
South,6-12 years,57.48,2023-11-10,Female
East,18+ years,81.36,2023-02-09,Female
South,18+ years,50.39,2023-05-20,Female
North,18+ years,61.03,2023-12-29,Male
North,18+ years,99.44,2023-12-11,Female
Centre,18+ years,67.61,2023-02-09,Male
South,6-12 years,91.98,2023-03-13,Female
Centre,6-12 years,54.08,2023-05-22,Male
Centre,18+ years,58.18,2023-06-06,Female
East,13-17 years,71.49,2023-05-01,Female
Centre,6-12 years,90.06,2023-01-19,Male
West,6-12 years,81.18,2023-07-10,Male
East,0-5 years,88.17,2023-10-25,Male
Centre,6-12 years,98.63,2023-06-10,Female
East,13-17 years,99.5,2023-04-21,Male
East,13-17 years,79.89,2023-06-26,Female
North,18+ years,55.97,2023-09-30,Male
East,0-5 years,75.34,2023-11-18,Female
West,0-5 years,88.4,2023-07-13,Female
Centre,13-17 years,85.82,2023-09-10,Female
North,0-5 years,92.06,2023-07-31,Male
East,13-17 years,78.41,2023-05-31,Female
East,0-5 years,76.21,2023-07-20,Female
Centre,0-5 years,61.84,2023-01-21,Female
East,18+ years,65.79,2023-09-30,Female
West,0-5 years,94.27,2023-01-21,Male
North,0-5 years,59.12,2023-06-20,Female
Centre,0-5 years,78.48,2023-04-10,Female
West,18+ years,83.03,2023-08-17,Male
South,6-12 years,86.95,2023-07-24,Male
North,18+ years,94.89,2023-08-01,Male
South,18+ years,51.3,2023-01-03,Female
North,18+ years,79.31,2023-01-28,Female
South,18+ years,92.09,2023-12-16,Female
South,18+ years,96.94,2023-11-26,Female
West,6-12 years,55.71,2023-10-02,Male
South,0-5 years,58.12,2023-06-05,Male
East,18+ years,72.2,2023-11-25,Female
East,6-12 years,70.82,2023-11-19,Female
Centre,18+ years,59.87,2023-04-11,Female
East,18+ years,83.0,2023-11-29,Male
South,18+ years,81.61,2023-03-08,Male
South,6-12 years,53.58,2023-05-21,Male
South,6-12 years,58.88,2023-10-18,Male
East,13-17 years,77.19,2023-11-28,Female
North,18+ years,57.91,2023-04-22,Female
Centre,6-12 years,62.56,2023-12-11,Female
West,6-12 years,53.12,2023-01-21,Female
West,0-5 years,84.96,2023-10-22,Male
Centre,13-17 years,83.02,2023-06-24,Female
South,13-17 years,85.08,2023-08-23,Male
East,18+ years,79.58,2023-02-10,Male
Centre,6-12 years,57.92,2023-06-29,Male
West,13-17 years,58.43,2023-04-21,Male
North,13-17 years,72.54,2023-05-11,Female
West,0-5 years,98.54,2023-02-22,Female
East,18+ years,88.38,2023-12-25,Female
South,0-5 years,97.87,2023-02-06,Male
East,0-5 years,84.5,2023-08-14,Female
East,13-17 years,85.45,2023-12-20,Male
West,0-5 years,64.15,2023-05-10,Male
East,6-12 years,55.02,2023-07-05,Female
South,0-5 years,75.42,2023-04-26,Male
North,13-17 years,68.52,2023-01-24,Male
South,0-5 years,99.35,2023-09-26,Female
Centre,6-12 years,78.72,2023-04-14,Female
West,13-17 years,72.14,2023-09-12,Female
East,0-5 years,56.45,2023-11-13,Male
East,13-17 years,58.61,2023-08-15,Male
South,18+ years,74.45,2023-02-27,Female
North,18+ years,70.8,2023-03-31,Female
West,18+ years,52.16,2023-06-23,Female
East,6-12 years,71.08,2023-01-04,Male
Centre,18+ years,84.72,2023-04-19,Male
South,18+ years,80.53,2023-04-12,Male
West,6-12 years,86.89,2023-02-06,Male
North,0-5 years,73.34,2023-11-18,Male
North,6-12 years,51.69,2023-06-04,Female
South,0-5 years,60.09,2023-12-05,Male
West,13-17 years,67.12,2023-08-26,Male
East,13-17 years,74.1,2023-06-06,Male
Centre,18+ years,87.99,2023-08-03,Male
Centre,18+ years,84.11,2023-04-07,Male
Centre,6-12 years,69.34,2023-09-25,Female
Centre,13-17 years,88.39,2023-02-06,Male
West,6-12 years,62.15,2023-03-07,Male
East,13-17 years,88.03,2023-09-13,Male
Centre,13-17 years,90.08,2023-06-03,Male
North,6-12 years,54.67,2023-11-12,Female
Centre,13-17 years,74.17,2023-02-19,Male
East,18+ years,82.02,2023-01-29,Female
North,13-17 years,69.95,2023-04-30,Male
Centre,13-17 years,67.36,2023-11-24,Female
Centre,6-12 years,82.35,2023-11-24,Female
North,6-12 years,52.48,2023-11-16,Female
South,0-5 years,78.72,2023-08-31,Male
Centre,6-12 years,59.65,2023-05-27,Female
North,6-12 years,91.8,2023-03-25,Female
West,13-17 years,57.86,2023-09-09,Female
South,6-12 years,86.45,2023-07-22,Male
South,6-12 years,75.92,2023-09-27,Male
Centre,18+ years,91.36,2023-10-02,Female
North,13-17 years,70.15,2023-04-21,Male
East,6-12 years,61.88,2023-08-24,Male
East,13-17 years,87.45,2023-03-04,Female
Centre,0-5 years,59.75,2023-01-28,Female
East,6-12 years,90.85,2023-11-06,Female
West,0-5 years,83.08,2023-11-09,Male
North,0-5 years,98.72,2023-07-16,Male
East,6-12 years,94.15,2023-07-12,Male
West,6-12 years,79.09,2023-02-20,Female
Centre,6-12 years,75.7,2023-06-01,Male
Centre,13-17 years,83.7,2023-11-22,Female
Centre,0-5 years,95.23,2023-04-03,Male
West,6-12 years,91.83,2023-10-23,Female
North,13-17 years,99.14,2023-10-28,Female
South,18+ years,97.74,2023-01-13,Male
North,0-5 years,55.47,2023-01-03,Male
West,0-5 years,90.2,2023-01-11,Male
West,13-17 years,98.96,2023-02-22,Female
North,13-17 years,59.52,2023-07-05,Female
North,13-17 years,92.5,2023-10-21,Female
Centre,13-17 years,72.72,2023-01-06,Female
Centre,13-17 years,69.21,2023-07-24,Male
West,18+ years,97.54,2023-06-03,Female
East,0-5 years,98.89,2023-08-27,Female
East,13-17 years,94.09,2023-06-29,Male
Centre,13-17 years,65.34,2023-10-09,Female
South,13-17 years,52.38,2023-07-30,Female
North,18+ years,60.66,2023-03-07,Male
East,13-17 years,78.77,2023-06-29,Male
Centre,0-5 years,98.92,2023-11-04,Male
South,6-12 years,56.87,2023-04-06,Male
Centre,0-5 years,52.82,2023-10-07,Female
Centre,0-5 years,77.54,2023-12-03,Female
North,13-17 years,65.82,2023-05-22,Female
West,6-12 years,82.9,2023-02-19,Female
South,18+ years,64.07,2023-09-22,Male
Centre,0-5 years,72.19,2023-04-16,Male
South,0-5 years,54.03,2023-07-12,Male
West,18+ years,77.58,2023-09-08,Female
South,13-17 years,94.9,2023-05-26,Male
South,13-17 years,84.8,2023-10-04,Male
South,6-12 years,84.83,2023-02-07,Female
Centre,13-17 years,87.96,2023-01-15,Female
East,6-12 years,86.39,2023-10-20,Female
North,18+ years,65.72,2023-12-25,Male
South,18+ years,74.47,2023-11-01,Female
East,18+ years,58.79,2023-04-15,Male
Centre,0-5 years,53.3,2023-04-18,Female
West,18+ years,75.29,2023-03-17,Male
Centre,0-5 years,64.4,2023-11-30,Female
Centre,6-12 years,84.44,2023-10-21,Female
West,0-5 years,81.05,2023-06-21,Male
West,13-17 years,51.43,2023-11-19,Male
Centre,0-5 years,91.09,2023-06-19,Female
South,0-5 years,93.49,2023-04-27,Male
East,6-12 years,80.78,2023-12-25,Male
Centre,0-5 years,96.88,2023-01-10,Male
East,6-12 years,94.15,2023-10-14,Male
South,6-12 years,91.79,2023-05-31,Female
South,6-12 years,58.16,2023-09-01,Male
West,0-5 years,76.9,2023-09-04,Female
West,13-17 years,69.8,2023-08-02,Male
Centre,13-17 years,65.58,2023-05-25,Male
South,18+ years,81.89,2023-08-12,Male
Centre,18+ years,87.27,2023-10-29,Male
Centre,0-5 years,67.05,2023-12-03,Female
West,6-12 years,57.5,2023-06-23,Female
South,6-12 years,85.17,2023-10-15,Male
West,0-5 years,91.25,2023-10-25,Female
South,0-5 years,75.33,2023-11-04,Male
West,18+ years,63.11,2023-10-29,Female
Centre,13-17 years,50.56,2023-03-09,Female
South,0-5 years,93.54,2023-02-25,Female
Centre,13-17 years,97.84,2023-09-17,Male
South,0-5 years,81.98,2023-09-29,Male
West,18+ years,51.24,2023-12-04,Male
North,18+ years,53.96,2023-06-10,Female
East,18+ years,88.09,2023-09-16,Male
North,6-12 years,75.74,2023-11-27,Male
Centre,0-5 years,56.77,2023-12-10,Female
West,18+ years,64.34,2023-01-19,Male
East,0-5 years,84.62,2023-08-08,Male
West,6-12 years,53.0,2023-03-04,Female
North,6-12 years,69.68,2023-04-08,Male
South,18+ years,91.35,2023-04-11,Male
South,0-5 years,61.37,2023-07-26,Female
South,13-17 years,62.94,2023-07-21,Male
South,18+ years,52.32,2023-09-10,Male
Centre,18+ years,67.09,2023-06-12,Male
North,0-5 years,86.68,2023-03-20,Male
Centre,18+ years,84.11,2023-03-10,Male
East,6-12 years,66.63,2023-03-10,Female
South,6-12 years,94.64,2023-01-16,Female
West,18+ years,95.63,2023-01-01,Male
South,0-5 years,78.79,2023-06-21,Female
North,18+ years,96.77,2023-12-12,Female
North,0-5 years,95.98,2023-03-19,Male
East,0-5 years,72.1,2023-09-12,Male
East,13-17 years,63.95,2023-10-25,Female
South,6-12 years,58.32,2023-10-06,Female
North,0-5 years,74.29,2023-01-09,Male
North,0-5 years,86.28,2023-04-27,Female
Centre,6-12 years,58.32,2023-05-05,Female
North,0-5 years,53.09,2023-06-16,Female
Centre,6-12 years,75.21,2023-11-22,Male
East,0-5 years,60.0,2023-09-09,Female
South,6-12 years,99.95,2023-04-25,Male
Centre,13-17 years,88.19,2023-01-18,Male
North,18+ years,68.26,2023-02-01,Female
South,13-17 years,78.24,2023-05-06,Female
North,6-12 years,84.02,2023-06-30,Female
West,6-12 years,56.76,2023-06-07,Male
South,0-5 years,76.99,2023-02-26,Female
Centre,13-17 years,56.28,2023-10-10,Female
Centre,18+ years,72.38,2023-12-08,Male
West,18+ years,98.63,2023-09-15,Male
South,13-17 years,52.48,2023-07-16,Male
East,13-17 years,85.99,2023-01-23,Female
East,13-17 years,79.92,2023-04-14,Female
North,18+ years,79.38,2023-05-16,Female
East,0-5 years,59.65,2023-08-24,Male
North,18+ years,52.5,2023-11-14,Male
Centre,13-17 years,70.29,2023-08-18,Female
West,18+ years,89.5,2023-08-24,Male
North,18+ years,56.03,2023-08-07,Male
North,0-5 years,97.92,2023-12-12,Male
South,0-5 years,73.63,2023-05-13,Male
South,0-5 years,66.64,2023-02-06,Male
North,0-5 years,69.02,2023-01-28,Male
West,18+ years,67.53,2023-06-19,Female
South,6-12 years,72.15,2023-03-08,Male
South,18+ years,68.46,2023-02-23,Female
North,18+ years,52.78,2023-05-24,Female
North,6-12 years,76.66,2023-03-29,Male
South,6-12 years,98.56,2023-04-15,Female
South,0-5 years,73.72,2023-04-04,Male
North,6-12 years,50.21,2023-12-20,Female
West,13-17 years,99.89,2023-12-13,Female
South,13-17 years,95.36,2023-01-27,Male
East,0-5 years,73.76,2023-10-06,Male
East,13-17 years,82.13,2023-07-17,Female
South,6-12 years,69.71,2023-10-15,Male
Centre,0-5 years,81.06,2023-02-16,Female
South,18+ years,65.91,2023-04-22,Male
West,13-17 years,73.34,2023-01-13,Female
South,6-12 years,50.87,2023-04-09,Female
West,13-17 years,68.77,2023-05-08,Female
Centre,13-17 years,92.13,2023-02-15,Female
South,13-17 years,55.26,2023-11-20,Male
North,13-17 years,58.2,2023-11-06,Female
West,18+ years,56.4,2023-07-01,Female
North,6-12 years,95.37,2023-03-01,Female
South,0-5 years,71.76,2023-10-21,Male
West,6-12 years,63.46,2023-10-15,Female
Centre,18+ years,61.68,2023-07-29,Female
Centre,13-17 years,83.93,2023-11-08,Male
Centre,0-5 years,62.65,2023-05-28,Female
South,0-5 years,66.17,2023-08-24,Female
North,18+ years,54.88,2023-11-07,Male
Centre,0-5 years,71.28,2023-04-26,Female
West,18+ years,80.71,2023-10-05,Female
South,18+ years,93.56,2023-10-07,Female
North,6-12 years,53.1,2023-07-27,Male
East,0-5 years,60.14,2023-06-07,Male
South,13-17 years,66.77,2023-08-02,Male
West,18+ years,78.12,2023-02-15,Female
East,6-12 years,84.36,2023-05-13,Female
North,18+ years,77.84,2023-10-04,Male
North,6-12 years,71.25,2023-11-13,Male
Centre,6-12 years,77.93,2023-01-30,Female
North,18+ years,74.5,2023-11-01,Male
East,18+ years,99.64,2023-07-22,Male
East,18+ years,98.68,2023-08-21,Male
North,0-5 years,70.91,2023-09-08,Female
East,13-17 years,74.92,2023-06-04,Male
South,18+ years,52.83,2023-02-06,Female
West,13-17 years,72.42,2023-01-11,Female
South,13-17 years,76.12,2023-05-21,Male
East,6-12 years,75.88,2023-05-06,Male
South,0-5 years,75.76,2023-02-28,Male
South,13-17 years,69.0,2023-11-08,Male
North,18+ years,69.4,2023-05-28,Female
Centre,6-12 years,66.9,2023-03-07,Female
Centre,13-17 years,84.88,2023-01-07,Female
West,18+ years,51.58,2023-08-07,Female
South,0-5 years,78.29,2023-11-04,Female
South,0-5 years,87.24,2023-05-07,Male
East,18+ years,59.11,2023-07-27,Female
East,13-17 years,89.17,2023-06-04,Female
Centre,18+ years,50.24,2023-01-06,Male
North,13-17 years,61.23,2023-10-21,Female
West,0-5 years,50.49,2023-08-03,Male
North,13-17 years,89.81,2023-02-01,Male
East,6-12 years,85.89,2023-08-01,Female
West,0-5 years,60.49,2023-01-03,Male
East,0-5 years,94.93,2023-04-01,Female
Centre,6-12 years,78.77,2023-11-03,Female
North,18+ years,81.45,2023-07-31,Female
West,13-17 years,83.51,2023-05-29,Male
West,0-5 years,53.45,2023-02-02,Male
West,18+ years,67.83,2023-08-17,Female
East,18+ years,70.83,2023-03-07,Male
North,6-12 years,75.69,2023-09-01,Female
East,6-12 years,69.38,2023-12-10,Male
Centre,6-12 years,65.67,2023-01-30,Female
Centre,6-12 years,91.2,2023-12-10,Male
South,6-12 years,81.4,2023-09-23,Female
East,6-12 years,69.08,2023-08-10,Female
South,13-17 years,99.73,2023-12-05,Female
East,13-17 years,98.17,2023-07-31,Female
East,0-5 years,60.63,2023-10-12,Female
East,18+ years,84.91,2023-01-05,Female
East,18+ years,54.05,2023-06-21,Female
North,0-5 years,57.4,2023-02-27,Male
South,13-17 years,92.71,2023-04-02,Female
South,18+ years,88.96,2023-09-14,Female
West,13-17 years,51.87,2023-08-31,Female
East,13-17 years,76.38,2023-06-04,Female
East,6-12 years,99.96,2023-08-06,Male
East,18+ years,52.84,2023-03-19,Male
